allele_count,chi_pr_values,chrom,fisher_p_n_homo_geq,fisher_p_n_homo_leq,fisher_p_two_sided,fisher_pr_values,num_heterozygotes,num_homozygotes,pos
3,,1,0,0,0,0,3,0,5
11,,1,0,0,0,0,11,0,6
9,,1,0,0,0,0,9,0,11
17,,1,0,0,0,0,17,0,25
6,,2,0,0,0,0,6,0,11
6,,2,0,0,0,0,6,0,24
13,,3,0,0,0,0,13,0,1
3,,3,0,0,0,0,3,0,2
15,0.0,3,0,0,0,0,13,1,5
4,,3,0,0,0,0,4,0,14
14,,3,0,0,0,0,14,0,21
14,,4,0,0,0,0,14,0,14
5,,5,0,0,0,0,5,0,11
19,,5,0,0,0,0,19,0,13
12,,5,0,0,0,0,12,0,13
116,0.0,5,0,0,0,0,94,11,15
3,,5,0,0,0,0,3,0,19
18,,5,0,0,0,0,18,0,25
3,,6,0,0,0,0,3,0,3
2,,7,0,0,0,0,2,0,9
157,0.0,7,0,0,0,0,123,17,21
12,,7,0,0,0,0,12,0,23
62,0.0,8,0,0,0,0,60,1,3
2,,8,0,0,0,0,2,0,19
14,0.0,9,0,0,0,0,12,1,23
2,,10,0,0,0,0,2,0,6
2,,10,0,0,0,0,2,0,14
25,,10,0,0,0,0,25,0,20
75,0.0,10,0,0,0,0,67,4,24
2,,11,0,0,0,0,2,0,21
4,,11,0,0,0,0,4,0,25
16,,12,0,0,0,0,16,0,9
46,0.0,12,0,0,0,0,44,1,18
12,,12,0,0,0,0,12,0,23
8,,12,0,0,0,0,8,0,26
11,,13,0,0,0,0,11,0,3
27,,13,0,0,0,0,27,0,5
11,,13,0,0,0,0,11,0,11
5,,13,0,0,0,0,5,0,14
4,,14,0,0,0,0,4,0,15
6,,15,0,0,0,0,6,0,4
57,0.0,15,0,0,0,0,49,4,9
65,0.0,15,0,0,0,0,61,2,21
2,,16,0,0,0,0,2,0,1
11,,16,0,0,0,0,11,0,2
24,0.0,16,0,0,0,0,22,1,3
13,0.0,16,0,0,0,0,11,1,3
5,,16,0,0,0,0,5,0,20
2,,16,0,0,0,0,2,0,25
3,,17,0,0,0,0,3,0,24
3,,18,0,0,0,0,3,0,13
6,,18,0,0,0,0,6,0,19
6,,18,0,0,0,0,6,0,24
6,,18,0,0,0,0,6,0,25
18,,19,0,0,0,0,18,0,7
7,,19,0,0,0,0,7,0,9
4,,19,0,0,0,0,4,0,20
11,,19,0,0,0,0,11,0,25
48,0.0,20,0,0,0,0,44,2,12
35,0.0,20,0,0,0,0,33,1,21
2,,21,0,0,0,0,2,0,20
2,,21,0,0,0,0,2,0,25
8,,21,0,0,0,0,8,0,26
9,,22,0,0,0,0,9,0,5
9,,22,0,0,0,0,9,0,20
18,,22,0,0,0,0,18,0,24
191,0.0,23,0,0,0,0,163,14,1
20,0.0,23,0,0,0,0,18,1,17
14,,25,0,0,0,0,14,0,6
17,0.0,25,0,0,0,0,15,1,8
5,,25,0,0,0,0,5,0,8
5,,25,0,0,0,0,5,0,18
2,,25,0,0,0,0,2,0,21
2,,26,0,0,0,0,2,0,3
9,,26,0,0,0,0,9,0,8
16,,26,0,0,0,0,16,0,17
7,,26,0,0,0,0,7,0,19
10,,27,0,0,0,0,10,0,4
2,,27,0,0,0,0,2,0,20
2,,27,0,0,0,0,2,0,21
2,,27,0,0,0,0,2,0,24
8,,28,0,0,0,0,8,0,3
6,,28,0,0,0,0,6,0,6
20,,28,0,0,0,0,20,0,17
6,,28,0,0,0,0,6,0,26
5,,29,0,0,0,0,5,0,1
24,,29,0,0,0,0,24,0,7
4,,29,0,0,0,0,4,0,21
4,,30,0,0,0,0,4,0,2
2,,30,0,0,0,0,2,0,2
8,,30,0,0,0,0,8,0,3
24,,30,0,0,0,0,24,0,15
2,,30,0,0,0,0,2,0,18
8,,30,0,0,0,0,8,0,26
31,,31,0,0,0,0,31,0,1
7,,31,0,0,0,0,7,0,3
4,,31,0,0,0,0,4,0,9
18,,31,0,0,0,0,18,0,11
28,,31,0,0,0,0,28,0,12
7,,31,0,0,0,0,7,0,18
5,,31,0,0,0,0,5,0,19
4,,32,0,0,0,0,4,0,3
2,,32,0,0,0,0,2,0,22
2,,33,0,0,0,0,2,0,9
19,,33,0,0,0,0,19,0,20
3,,33,0,0,0,0,3,0,20
39,0.0,34,0,0,0,0,35,2,1
35,0.0,34,0,0,0,0,31,2,7
21,,34,0,0,0,0,21,0,8
40,,34,0,0,0,0,40,0,15
39,0.0,34,0,0,0,0,35,2,15
3,,34,0,0,0,0,3,0,16
2,,34,0,0,0,0,2,0,22
19,,35,0,0,0,0,19,0,1
15,,35,0,0,0,0,15,0,5
6,0.0,35,0,0,0,0,4,1,12
4,,35,0,0,0,0,4,0,12
7,,35,0,0,0,0,7,0,15
3,,35,0,0,0,0,3,0,17
49,0.0,35,0,0,0,0,47,1,18
4,,36,0,0,0,0,4,0,2
13,,37,0,0,0,0,13,0,23
5,,37,0,0,0,0,5,0,24
2,,38,0,0,0,0,2,0,12
69,0.0,38,0,0,0,0,67,1,19
9,,38,0,0,0,0,9,0,20
18,,39,0,0,0,0,18,0,1
7,,39,0,0,0,0,7,0,12
103,0.0,39,0,0,0,0,97,3,23
5,,40,0,0,0,0,5,0,2
46,,40,0,0,0,0,46,0,12
24,,40,0,0,0,0,24,0,24
44,0.0,41,0,0,0,0,42,1,8
2,,41,0,0,0,0,2,0,21
81,0.0,42,0,0,0,0,77,2,4
2,,42,0,0,0,0,2,0,4
5,,42,0,0,0,0,5,0,8
15,,42,0,0,0,0,15,0,10
12,,42,0,0,0,0,12,0,16
7,,42,0,0,0,0,7,0,18
11,,43,0,0,0,0,11,0,1
