chrom,pos,allele_count,num_heterozygotes,num_homozygotes,chi_pr_values,fisher_pr_values,fisher_p_n_homo_leq,fisher_p_n_homo_geq,fisher_p_two_sided
7,5,8,6,1,0.7316156289466418,0.426768278161467,0.5182186234817814,0.9085496546796855,0.9999999999999999
8,5,3,3,0,0.8558079011576558,0.8421052631578947,0.8421052631578947,1.0,1.0
17,25,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
26,20,4,2,1,0.49503589692619876,0.29721362229102166,0.9907120743034056,0.3065015479876161,0.3065015479876161
28,18,9,5,2,0.9994899780801154,0.4801143129316504,0.7849487973326982,0.6951655155989521,1.0
29,14,4,4,0,0.7316156289466418,0.6934984520123839,0.6934984520123839,1.0,1.0
49,13,6,6,0,0.3991702158434838,0.34674922600619196,0.34674922600619196,1.0,0.47987616099071206
65,24,6,4,1,0.988726162928418,0.5201238390092879,0.8668730650154799,0.653250773993808,1.0
69,1,3,3,0,0.8558079011576558,0.8421052631578947,0.8421052631578947,1.0,1.0
70,20,9,3,3,0.460270356563103,0.20004763038818765,0.9849964277208859,0.21505120266730174,0.24553465110740652
76,7,5,5,0,0.5737534207374329,0.5201238390092879,0.5201238390092879,1.0,1.0
76,23,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
79,11,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
86,15,5,5,0,0.5737534207374329,0.5201238390092879,0.5201238390092879,1.0,1.0
89,5,8,6,1,0.7316156289466418,0.426768278161467,0.5182186234817814,0.9085496546796855,0.9999999999999999
93,16,3,3,0,0.8558079011576558,0.8421052631578947,0.8421052631578947,1.0,1.0
99,4,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
103,12,5,5,0,0.5737534207374329,0.5201238390092879,0.5201238390092879,1.0,1.0
105,21,3,3,0,0.8558079011576558,0.8421052631578947,0.8421052631578947,1.0,1.0
106,12,3,3,0,0.8558079011576558,0.8421052631578947,0.8421052631578947,1.0,1.0
114,9,9,9,0,0.03518598468525299,0.030483448440104786,0.030483448440104786,1.0,0.04548702071921886
115,10,6,4,1,0.988726162928418,0.5201238390092879,0.8668730650154799,0.653250773993808,1.0
120,20,6,4,1,0.988726162928418,0.5201238390092879,0.8668730650154799,0.653250773993808,1.0
128,1,4,2,1,0.49503589692619876,0.29721362229102166,0.9907120743034056,0.3065015479876161,0.3065015479876161
130,16,4,2,1,0.49503589692619876,0.29721362229102166,0.9907120743034056,0.3065015479876161,0.3065015479876161
139,17,8,4,2,0.8703247258333906,0.4000952607763753,0.9183138842581566,0.48178137651821856,0.573231721838533
143,26,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
146,16,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
148,2,4,4,0,0.7316156289466418,0.6934984520123839,0.6934984520123839,1.0,1.0
155,17,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
157,13,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
158,5,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
159,19,7,3,2,0.5597618061537561,0.26006191950464397,0.978328173374613,0.281733746130031,0.47987616099071206
160,19,10,4,3,0.8187307530779818,0.3637229643421594,0.930437983069562,0.4332849812725974,0.5635324427894087
164,7,3,3,0,0.8558079011576558,0.8421052631578947,0.8421052631578947,1.0,1.0
175,9,9,5,2,0.9994899780801154,0.4801143129316504,0.7849487973326982,0.6951655155989521,1.0
176,6,2,0,1,0.006737946999085468,0.05263157894736842,1.0,0.05263157894736842,0.05263157894736842
181,20,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
182,13,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
194,6,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
195,4,3,3,0,0.8558079011576558,0.8421052631578947,0.8421052631578947,1.0,1.0
201,5,4,2,1,0.49503589692619876,0.29721362229102166,0.9907120743034056,0.3065015479876161,0.3065015479876161
217,6,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
219,5,4,4,0,0.7316156289466418,0.6934984520123839,0.6934984520123839,1.0,1.0
219,15,9,7,1,0.42419350228834085,0.27435103596094307,0.3048344844010479,0.9695165515598951,0.5198856870683496
221,5,5,3,1,0.8187307530779818,0.43343653250773995,0.9535603715170279,0.47987616099071206,0.47987616099071206
226,18,10,6,2,0.8187307530779818,0.4364675572105913,0.5667150187274027,0.8697525384831887,0.9999999999999999
227,14,5,5,0,0.5737534207374329,0.5201238390092879,0.5201238390092879,1.0,1.0
234,10,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
245,10,4,4,0,0.7316156289466418,0.6934984520123839,0.6934984520123839,1.0,1.0
247,3,5,3,1,0.8187307530779818,0.43343653250773995,0.9535603715170279,0.47987616099071206,0.47987616099071206
247,26,5,3,1,0.8187307530779818,0.43343653250773995,0.9535603715170279,0.47987616099071206,0.47987616099071206
250,13,10,8,1,0.16529888822158653,0.12470501634588321,0.13024746151681135,0.9944575548290718,0.19980947844724933
257,2,6,4,1,0.988726162928418,0.5201238390092879,0.8668730650154799,0.653250773993808,1.0
259,11,5,3,1,0.8187307530779818,0.43343653250773995,0.9535603715170279,0.47987616099071206,0.47987616099071206
269,23,4,4,0,0.7316156289466418,0.6934984520123839,0.6934984520123839,1.0,1.0
285,1,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
285,3,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
287,5,10,4,3,0.8187307530779818,0.3637229643421594,0.930437983069562,0.4332849812725974,0.5635324427894087
288,20,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
292,9,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
292,13,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
293,10,10,4,3,0.8187307530779818,0.3637229643421594,0.930437983069562,0.4332849812725974,0.5635324427894087
293,24,5,5,0,0.5737534207374329,0.5201238390092879,0.5201238390092879,1.0,1.0
296,14,3,3,0,0.8558079011576558,0.8421052631578947,0.8421052631578947,1.0,1.0
300,9,6,4,1,0.988726162928418,0.5201238390092879,0.8668730650154799,0.653250773993808,1.0
301,1,10,8,1,0.16529888822158653,0.12470501634588321,0.13024746151681135,0.9944575548290718,0.19980947844724933
301,24,6,4,1,0.988726162928418,0.5201238390092879,0.8668730650154799,0.653250773993808,1.0
305,17,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
314,22,8,6,1,0.7316156289466418,0.426768278161467,0.5182186234817814,0.9085496546796855,0.9999999999999999
316,7,10,6,2,0.8187307530779818,0.4364675572105913,0.5667150187274027,0.8697525384831887,0.9999999999999999
319,17,3,1,1,0.15765181226837047,0.15789473684210525,1.0,0.15789473684210525,0.15789473684210525
321,7,4,2,1,0.49503589692619876,0.29721362229102166,0.9907120743034056,0.3065015479876161,0.3065015479876161
323,14,8,4,2,0.8703247258333906,0.4000952607763753,0.9183138842581566,0.48178137651821856,0.573231721838533
326,11,6,4,1,0.988726162928418,0.5201238390092879,0.8668730650154799,0.653250773993808,1.0
333,7,5,5,0,0.5737534207374329,0.5201238390092879,0.5201238390092879,1.0,1.0
333,8,4,4,0,0.7316156289466418,0.6934984520123839,0.6934984520123839,1.0,1.0
336,15,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
343,6,2,2,0,0.9401381982949014,0.9473684210526315,0.9473684210526315,1.0,1.0
344,8,5,5,0,0.5737534207374329,0.5201238390092879,0.5201238390092879,1.0,1.0
378,11,5,3,1,0.8187307530779818,0.43343653250773995,0.9535603715170279,0.47987616099071206,0.47987616099071206
