,heterozygotes,homozygotes
3,43,1
25,23,1
61,47,7
139,47,46
131,47,42
8,40,0
112,56,28
19,55,1
43,70,8
2,38,0
7,49,0
93,51,21
4,44,0
50,34,8
62,42,10
33,25,4
6,34,1
133,47,43
11,42,1
5,61,2
20,40,0
163,37,63
28,52,2
172,26,73
54,38,8
125,57,34
30,52,4
9,25,1
29,54,2
171,27,72
14,28,0
10,18,1
190,8,91
16,14,1
142,42,50
168,60,138
74,52,11
79,49,15
27,44,5
55,127,19
23,84,4
32,28,2
115,63,26
24,16,4
78,42,18
13,39,0
53,84,11
17,30,2
90,52,19
56,32,12
12,24,0
73,94,26
47,33,7
21,78,3
181,34,164
36,26,5
164,26,69
140,34,53
22,36,4
188,12,88
15,22,4
60,48,6
178,18,80
48,34,7
71,41,15
26,48,2
174,24,75
107,59,24
18,34,1
138,46,46
41,31,5
101,86,58
99,43,28
123,39,42
69,51,9
38,34,2
198,2,98
145,41,52
102,52,25
45,33,6
