chrom,pos,allele_count,num_heterozygotes,num_homozygotes,chi_pr_values,fisher_pr_values,fisher_p_n_homo_leq,fisher_p_n_homo_geq,fisher_p_two_sided
5,15,14,14,0,0.7533165592103706,0.6136328173536518,0.6136328173536518,1.0,1.0
5,26,14,14,0,0.7533165592103706,0.6136328173536518,0.6136328173536518,1.0,1.0
8,5,25,23,1,0.8761264072352645,0.35519823673715417,0.5351653433506456,0.8200328933865086,1.0
9,17,5,5,0,0.967661338543614,0.9501313674973854,0.9501313674973854,0.9999999999999999,0.9999999999999999
12,23,2,2,0,0.9949114704013271,0.9949748743718593,0.9949748743718593,1.0,1.0
17,25,22,20,1,0.9772565117740842,0.3995444080267724,0.6728258645991967,0.7267185434275755,0.9999999999999998
19,25,6,6,0,0.9532991233779651,0.9257690247410422,0.9257690247410422,1.0,1.0
20,9,4,4,0,0.9793906794086937,0.9699257709869142,0.9699257709869142,1.0,1.0
21,9,19,17,1,0.993590276708091,0.4057648780447032,0.7949194979238337,0.6108453801208695,1.0
24,7,3,3,0,0.9884717172910189,0.9849246231155779,0.9849246231155779,1.0,1.0
25,7,2,2,0,0.9949114704013271,0.9949748743718593,0.9949748743718593,1.0,1.0
26,14,15,13,1,0.8196748873819879,0.34640562269964215,0.9138510236933417,0.4325545990063005,0.4325545990063005
26,20,18,14,2,0.3479863301236374,0.14215922328452663,0.97207176078609,0.17008746249843668,0.17008746249843668
26,22,3,3,0,0.9884717172910189,0.9849246231155779,0.9849246231155779,1.0,1.0
28,18,54,36,9,0.6863638152083913,0.12869771032871644,0.8795217978632904,0.24917591246542586,0.444995052640798
29,14,38,32,3,0.9244547917316674,0.2510378608504499,0.5091818264458182,0.7418560344046317,1.0
46,7,3,3,0,0.9884717172910189,0.9849246231155779,0.9849246231155779,1.0,1.0
49,13,29,25,2,0.9965880116324993,0.31418642473308417,0.6682651288727929,0.6459212958602916,1.0
52,18,12,8,2,0.014586562591120346,0.03264976530245814,0.9982913087933413,0.03435845650911679,0.03435845650911679
63,2,26,24,1,0.8301917802994001,0.3342246265679127,0.4884821465223339,0.8457424800455788,1.0
63,24,2,2,0,0.9949114704013271,0.9949748743718593,0.9949748743718593,1.0,1.0
65,8,7,7,0,0.9363428490862598,0.8971369930480203,0.8971369930480203,1.0,1.0
65,24,50,40,5,0.8007374029168081,0.18187629528959548,0.3706698484941223,0.811206446795473,0.602918887622418
67,3,2,2,0,0.9949114704013271,0.9949748743718593,0.9949748743718593,1.0,1.0
69,1,28,20,4,0.2380166570516561,0.0733501704600314,0.9785971692464398,0.09475300121359163,0.09475300121359163
69,17,3,3,0,0.9884717172910189,0.9849246231155779,0.9849246231155779,1.0,1.0
70,4,24,22,1,0.916855355732029,0.3734655746264935,0.5818485401789573,0.7916170344475361,0.9999999999999999
