,heterozygotes,homozygotes
2,420,0
3,348,0
4,442,1
5,498,1
6,388,1
7,458,2
8,428,2
9,295,1
10,438,1
11,335,3
12,324,0
13,360,2
14,362,1
15,478,1
16,490,3
17,374,0
18,352,4
19,433,2
20,506,7
21,307,4
22,434,3
23,155,3
24,166,1
25,359,8
26,584,7
27,356,11
28,304,2
29,280,5
30,268,1
31,383,10
32,378,3
33,450,6
34,458,9
35,340,5
36,140,2
37,247,6
38,372,4
39,413,8
40,272,4
41,519,7
42,278,8
43,572,15
44,294,7
45,424,13
46,84,4
47,178,5
48,318,9
49,186,5
50,184,8
51,196,4
52,196,6
53,104,1
55,159,3
56,316,10
57,157,7
58,286,2
59,228,4
60,166,7
61,167,8
62,122,1
63,179,5
64,60,2
65,177,9
66,254,5
67,122,6
68,200,2
69,132,3
70,316,17
71,132,5
72,68,2
73,138,4
75,276,12
76,144,4
77,69,4
78,70,4
79,284,16
80,152,4
82,156,4
84,156,6
85,79,3
86,76,5
87,156,9
88,80,4
89,81,4
90,80,5
94,168,10
96,172,10
97,77,10
98,90,4
99,89,5
100,86,7
101,95,3
104,98,3
106,90,8
112,90,11
113,103,5
116,196,18
117,222,6
119,101,9
120,104,8
121,103,9
124,106,9
129,107,11
144,122,11
