,heterozygotes,homozygotes
14,54,1
105,49,28
25,44,3
5,33,1
2,40,0
22,42,1
6,36,0
4,22,1
19,74,1
3,63,0
15,13,1
18,64,4
54,36,9
38,64,6
127,43,42
29,50,4
12,54,3
26,94,5
7,28,0
50,40,5
28,94,9
24,46,1
85,59,13
199,2,198
44,38,3
11,51,2
10,66,2
56,124,22
30,82,4
183,15,84
35,58,6
9,52,1
80,108,26
72,88,28
75,90,30
125,47,39
107,51,28
74,44,15
123,86,80
97,37,30
55,37,9
16,54,5
8,14,1
20,38,1
60,46,7
71,96,23
151,43,54
170,28,71
157,31,63
116,92,70
160,30,65
141,86,98
180,14,83
13,24,1
189,11,89
39,95,11
40,32,4
165,31,67
106,52,27
49,80,9
87,114,30
195,10,190
128,42,43
134,42,46
53,35,9
63,35,14
164,94,199
86,46,20
161,31,65
32,52,6
59,45,7
82,44,19
112,46,33
67,45,11
102,54,24
41,68,7
100,48,26
37,33,2
21,36,3
135,41,47
132,50,41
121,43,39
197,3,97
175,17,79
171,23,74
