,heterozygotes,homozygotes
111,212,5
165,145,10
1069,493,288
3,48,0
264,236,14
87,174,0
10,60,0
26,130,0
16,48,0
22,66,0
2,42,0
214,188,13
37,37,0
102,98,2
31,89,2
23,46,0
28,28,0
116,112,2
140,126,7
21,21,0
522,402,60
406,326,40
1205,495,355
399,327,36
84,80,2
17,51,0
19,76,0
5,35,0
235,213,11
8,32,0
71,69,1
381,307,37
257,221,18
222,190,16
811,471,170
6,48,0
1988,12,988
382,324,29
101,299,2
85,81,2
4,20,0
43,129,0
9,45,0
12,24,0
186,164,11
155,151,2
501,407,47
34,34,0
260,222,19
15,30,0
1810,180,815
265,215,25
189,181,4
72,138,3
753,479,137
79,156,1
209,179,15
760,478,141
705,447,129
1295,447,424
50,100,0
656,442,107
98,158,19
974,512,231
639,427,106
173,489,15
1180,462,359
920,494,213
110,106,2
149,276,11
139,125,7
503,361,71
131,242,10
58,56,1
138,112,13
657,479,89
648,436,106
104,104,0
1691,265,713
163,153,5
223,199,12
1682,260,711
1477,399,539
151,147,2
1101,483,309
554,400,77
1551,339,606
154,138,8
292,250,21
86,84,1
7,14,0
1391,421,485
216,174,21
285,215,35
1776,188,794
153,141,6
1924,70,927
394,322,36
413,303,55
76,142,5
18,18,0
371,307,32
1629,307,661
293,257,18
1102,514,294
457,345,56
892,550,171
877,517,180
44,86,1
1953,43,955
11,44,0
1335,405,465
59,49,5
1310,444,433
481,375,53
240,424,28
1997,3,997
54,54,0
564,804,162
553,381,86
70,68,1
33,132,0
20,60,0
24,24,0
46,46,0
113,111,1
118,114,2
14,28,0
1272,514,379
93,174,6
1623,594,1326
761,467,147
297,253,22
1703,253,725
178,160,9
376,284,46
1323,435,444
677,435,121
764,482,141
276,246,15
372,304,34
560,394,83
1204,460,372
68,64,2
32,60,2
234,216,9
204,174,15
29,29,0
985,491,247
681,451,115
48,140,2
147,143,2
400,618,91
824,520,152
431,335,48
1025,441,292
671,425,123
346,292,27
213,177,18
1365,449,458
348,270,39
256,230,13
1308,450,429
52,52,0
1152,502,325
1669,275,697
1957,43,957
202,186,8
1676,240,718
38,32,3
1870,122,874
130,122,4
65,61,2
206,180,13
1206,440,383
1757,203,777
