allele_count,chi_pr_values,chrom,fisher_p_n_homo_geq,fisher_p_n_homo_leq,fisher_p_two_sided,fisher_pr_values,num_heterozygotes,num_homozygotes,pos
6,0.0,1,0,0,0,0,4,1,6
71,0.0,1,0,0,0,0,23,24,14
67,0.0,2,0,0,0,0,23,22,6
15,0.0,2,0,0,0,0,9,3,11
67,0.0,2,0,0,0,0,23,22,21
67,0.0,2,0,0,0,0,23,22,22
3,,3,0,0,0,0,3,0,2
23,0.0,3,0,0,0,0,15,4,7
65,0.0,3,0,0,0,0,19,23,8
35,0.0,3,0,0,0,0,19,8,16
20,0.0,3,0,0,0,0,12,4,21
75,0.0,4,0,0,0,0,17,29,4
2,,4,0,0,0,0,2,0,10
17,0.0,4,0,0,0,0,13,2,13
17,0.0,4,0,0,0,0,13,2,15
87,,5,0,0,0,0,13,37,1
32,0.0,5,0,0,0,0,26,3,2
10,,5,0,0,0,0,10,0,6
2,,5,0,0,0,0,2,0,14
13,,5,0,0,0,0,13,0,18
87,,5,0,0,0,0,13,37,21
36,0.0,5,0,0,0,0,18,9,21
36,0.0,5,0,0,0,0,18,9,23
3,0.0,5,0,0,0,0,1,1,24
87,,5,0,0,0,0,13,37,25
98,,6,0,0,0,0,2,48,5
2,,6,0,0,0,0,2,0,8
2,,6,0,0,0,0,2,0,9
2,,6,0,0,0,0,2,0,13
24,0.0,6,0,0,0,0,20,2,17
10,,7,0,0,0,0,10,0,9
2,,7,0,0,0,0,0,1,10
5,,7,0,0,0,0,5,0,16
25,0.0,7,0,0,0,0,17,4,18
18,0.0,8,0,0,0,0,10,4,17
10,,8,0,0,0,0,10,0,17
12,0.0,8,0,0,0,0,8,2,24
2,,8,0,0,0,0,2,0,25
74,0.0,9,0,0,0,0,22,26,10
17,,9,0,0,0,0,17,0,14
6,,9,0,0,0,0,6,0,19
3,,10,0,0,0,0,3,0,2
40,0.0,10,0,0,0,0,28,6,4
60,0.0,10,0,0,0,0,28,16,6
34,0.0,10,0,0,0,0,26,4,6
10,0.0,10,0,0,0,0,8,1,16
60,0.0,10,0,0,0,0,28,16,17
29,0.0,10,0,0,0,0,23,3,17
2,,10,0,0,0,0,2,0,18
60,0.0,10,0,0,0,0,28,16,20
10,0.0,10,0,0,0,0,8,1,21
60,0.0,10,0,0,0,0,28,16,22
4,,11,0,0,0,0,4,0,9
8,,12,0,0,0,0,8,0,25
25,0.0,13,0,0,0,0,21,2,2
68,0.0,13,0,0,0,0,26,21,6
21,0.0,13,0,0,0,0,17,2,9
32,0.0,13,0,0,0,0,26,3,25
8,0.0,14,0,0,0,0,6,1,4
2,,14,0,0,0,0,2,0,8
5,,14,0,0,0,0,5,0,11
2,,14,0,0,0,0,2,0,11
3,,14,0,0,0,0,3,0,20
8,0.0,14,0,0,0,0,6,1,25
2,,15,0,0,0,0,2,0,4
4,,15,0,0,0,0,4,0,5
11,0.0,15,0,0,0,0,7,2,19
6,,15,0,0,0,0,6,0,20
3,,16,0,0,0,0,3,0,10
2,,16,0,0,0,0,0,1,17
20,0.0,16,0,0,0,0,14,3,21
3,,16,0,0,0,0,3,0,21
29,0.0,17,0,0,0,0,23,3,18
2,,17,0,0,0,0,2,0,18
3,,18,0,0,0,0,3,0,2
14,,18,0,0,0,0,14,0,7
61,0.0,18,0,0,0,0,29,16,23
7,0.0,19,0,0,0,0,5,1,5
4,,19,0,0,0,0,4,0,5
44,0.0,20,0,0,0,0,28,8,1
2,,20,0,0,0,0,2,0,22
2,,20,0,0,0,0,2,0,23
44,0.0,20,0,0,0,0,28,8,25
9,,20,0,0,0,0,9,0,25
2,,21,0,0,0,0,2,0,4
11,,21,0,0,0,0,11,0,16
4,,21,0,0,0,0,4,0,16
35,0.0,22,0,0,0,0,27,4,4
35,0.0,22,0,0,0,0,27,4,14
3,,22,0,0,0,0,3,0,19
15,0.0,22,0,0,0,0,13,1,20
95,,23,0,0,0,0,5,45,4
95,,23,0,0,0,0,5,45,19
5,,23,0,0,0,0,5,0,20
95,,23,0,0,0,0,5,45,26
41,0.0,24,0,0,0,0,23,9,1
4,,24,0,0,0,0,4,0,2
41,0.0,24,0,0,0,0,23,9,7
38,0.0,24,0,0,0,0,22,8,13
36,0.0,24,0,0,0,0,22,7,17
6,,24,0,0,0,0,6,0,25
51,0.0,25,0,0,0,0,27,12,3
40,0.0,25,0,0,0,0,24,8,14
40,0.0,25,0,0,0,0,24,8,15
2,,25,0,0,0,0,2,0,20
2,,26,0,0,0,0,2,0,12
75,0.0,26,0,0,0,0,19,28,21
10,0.0,26,0,0,0,0,8,1,22
10,0.0,26,0,0,0,0,8,1,22
16,0.0,27,0,0,0,0,14,1,13
2,,27,0,0,0,0,2,0,13
3,,28,0,0,0,0,3,0,3
17,0.0,28,0,0,0,0,13,2,14
3,,29,0,0,0,0,3,0,3
2,,29,0,0,0,0,2,0,6
4,,29,0,0,0,0,4,0,10
6,,29,0,0,0,0,6,0,12
43,0.0,29,0,0,0,0,19,12,14
10,,29,0,0,0,0,10,0,16
11,,30,0,0,0,0,11,0,6
2,,30,0,0,0,0,2,0,11
2,,30,0,0,0,0,2,0,14
66,0.0,30,0,0,0,0,18,24,19
5,,30,0,0,0,0,5,0,25
7,0.0,30,0,0,0,0,5,1,26
3,,31,0,0,0,0,3,0,8
7,,31,0,0,0,0,7,0,17
7,,31,0,0,0,0,7,0,20
23,0.0,31,0,0,0,0,19,2,20
2,,32,0,0,0,0,2,0,6
91,0.0,32,0,0,0,0,7,42,9
4,,32,0,0,0,0,4,0,13
3,,32,0,0,0,0,3,0,16
2,,32,0,0,0,0,2,0,16
5,0.0,32,0,0,0,0,3,1,18
46,0.0,32,0,0,0,0,30,8,21
90,0.0,33,0,0,0,0,8,41,6
24,0.0,34,0,0,0,0,12,6,3
24,0.0,34,0,0,0,0,12,6,8
24,0.0,34,0,0,0,0,12,6,12
6,,34,0,0,0,0,6,0,23
68,0.0,35,0,0,0,0,28,20,5
5,,35,0,0,0,0,5,0,16
32,0.0,35,0,0,0,0,28,2,17
2,,35,0,0,0,0,2,0,19
7,,35,0,0,0,0,7,0,23
68,0.0,35,0,0,0,0,28,20,25
9,,36,0,0,0,0,9,0,3
91,,36,0,0,0,0,9,41,7
80,0.0,36,0,0,0,0,14,33,8
19,0.0,36,0,0,0,0,17,1,17
91,,36,0,0,0,0,9,41,26
72,0.0,37,0,0,0,0,22,25,13
72,0.0,37,0,0,0,0,22,25,19
16,0.0,37,0,0,0,0,14,1,19
5,,37,0,0,0,0,5,0,19
35,0.0,38,0,0,0,0,21,7,3
22,0.0,38,0,0,0,0,10,6,6
35,0.0,38,0,0,0,0,21,7,8
35,0.0,38,0,0,0,0,21,7,11
22,0.0,38,0,0,0,0,10,6,13
2,,38,0,0,0,0,2,0,20
4,0.0,39,0,0,0,0,2,1,3
2,,39,0,0,0,0,2,0,5
10,0.0,39,0,0,0,0,6,2,9
2,,39,0,0,0,0,2,0,25
84,0.0,40,0,0,0,0,12,36,6
9,,40,0,0,0,0,9,0,8
2,,40,0,0,0,0,2,0,9
5,,40,0,0,0,0,5,0,12
2,,40,0,0,0,0,2,0,22
2,,40,0,0,0,0,2,0,23
9,,40,0,0,0,0,9,0,26
2,,40,0,0,0,0,2,0,26
60,0.0,41,0,0,0,0,26,17,1
16,0.0,41,0,0,0,0,14,1,1
4,,41,0,0,0,0,4,0,2
2,,41,0,0,0,0,2,0,6
40,0.0,41,0,0,0,0,26,7,8
40,0.0,41,0,0,0,0,26,7,12
54,0.0,41,0,0,0,0,28,13,14
60,0.0,41,0,0,0,0,26,17,25
40,0.0,41,0,0,0,0,26,7,26
99,,42,1,1,1,1,1,49,15
3,,42,0,0,0,0,3,0,18
6,,42,0,0,0,0,6,0,22
14,,42,0,0,0,0,14,0,26
59,0.0,43,0,0,0,0,19,20,7
23,0.0,43,0,0,0,0,19,2,11
22,0.0,43,0,0,0,0,16,3,11
22,0.0,43,0,0,0,0,16,3,14
23,0.0,43,0,0,0,0,19,2,19
3,,44,0,0,0,0,3,0,3
5,,44,0,0,0,0,5,0,6
