chrom,pos,allele_count,num_heterozygotes,num_homozygotes,chi_pr_values,fisher_pr_values,fisher_p_n_homo_leq,fisher_p_n_homo_geq,fisher_p_two_sided
5,15,111,101,5,0.5113969722838853,0.10631650648650777,0.9221573314065241,0.18415917507998356,0.22360380154559634
5,26,165,145,10,0.4106037527822003,0.06270538620666857,0.9345180947466576,0.128187291460011,0.2046436133812763
7,24,3,3,0,0.998872253775306,0.9984992496248124,0.9984992496248124,1.0,1.0
8,5,264,236,14,0.6398448530914869,0.07536643876081314,0.21686544086996912,0.858500997890844,0.4082874379200231
9,17,87,87,0,0.3555326565343032,0.1414622433297935,0.1414622433297935,1.0,0.2532687757271996
10,1,10,10,0,0.9874534290355311,0.9776461646549068,0.9776461646549068,0.9999999999999999,0.9999999999999999
10,5,26,26,0,0.9169149158673642,0.8482302183936231,0.8482302183936231,1.0,1.0
12,23,16,16,0,0.9680048221116089,0.9413227215492337,0.9413227215492337,0.9999999999999999,0.9999999999999999
16,6,22,22,0,0.9400207889201649,0.8898010266496916,0.8898010266496916,1.0,1.0
16,10,2,2,0,0.9994991239782939,0.9994997498749375,0.9994997498749375,1.0,1.0
17,25,214,188,13,0.8765674194853594,0.10915967824580573,0.7622603786245791,0.3468992996212268,0.6182286478143456
19,25,87,87,0,0.3555326565343032,0.1414622433297935,0.1414622433297935,1.0,0.2532687757271996
20,9,37,37,0,0.837246486252521,0.7123330331858212,0.7123330331858212,1.0,1.0
21,9,102,98,2,0.9257986180701406,0.2609259179186863,0.5169290528604559,0.7439968650582305,1.0000000000000002
22,21,31,29,1,0.28955369220557176,0.18928228632986865,0.9789761260716863,0.21030616025818238,0.21030616025818238
24,3,2,2,0,0.9994991239782939,0.9994997498749375,0.9994997498749375,1.0,1.0
24,7,23,23,0,0.9345664769544622,0.8799043519346799,0.8799043519346799,1.0,1.0
25,7,28,28,0,0.9041113794769778,0.8256030622441187,0.8256030622441187,1.0,1.0
26,14,116,112,2,0.7322515221652481,0.19838390181052157,0.3365060914204014,0.8618778103901201,0.7682911811998868
26,20,140,126,7,0.5943473518153634,0.1018894029876498,0.8956095963231311,0.2062798066645189,0.32426051856068355
26,22,21,21,0,0.9452544615603349,0.8993443471602348,0.8993443471602348,0.9999999999999999,0.9999999999999999
28,18,522,402,60,0.4121457055441744,0.02785540938541057,0.10787242178144346,0.9199829876039664,0.21845504617228415
29,14,406,326,40,0.9724662564167595,0.07657436621619843,0.45565135841528015,0.6209230078009179,0.9220947368868228
36,5,2,2,0,0.9994991239782939,0.9994997498749375,0.9994997498749375,1.0,1.0
45,23,2,2,0,0.9994991239782939,0.9994997498749375,0.9994997498749375,1.0,1.0
46,7,26,26,0,0.9169149158673642,0.8482302183936231,0.8482302183936231,1.0,1.0
49,13,399,327,36,0.7534218473640845,0.06155204103575523,0.26405807035566153,0.7974939706800936,0.48942009908473355
52,18,84,80,2,0.9829456754405312,0.27866874481547343,0.748894386636862,0.5297743581786114,0.6918784610170374
54,14,17,17,0,0.9639199330844024,0.9337314092786754,0.9337314092786754,1.0,1.0
56,16,19,19,0,0.9550469769297613,0.9173194471526248,0.9173194471526248,1.0,1.0
57,9,5,5,0,0.9968642429984811,0.995001256261581,0.995001256261581,1.0,1.0
63,2,235,213,11,0.6933645707027021,0.09079427784823392,0.2506900852454206,0.840104192602813,0.4489008178163929
63,24,8,8,0,0.9919680438685891,0.9860455489387389,0.9860455489387389,0.9999999999999999,0.9999999999999999
65,8,71,69,1,0.971527024620936,0.3684357780814578,0.6442066220378004,0.7242291560436571,0.9999999999999998
65,24,381,307,37,0.9894644003975338,0.08012366195063583,0.6088137260869481,0.47130993586368763,0.9182632907634248
67,3,5,5,0,0.9968642429984811,0.995001256261581,0.995001256261581,1.0,1.0
67,20,3,3,0,0.998872253775306,0.9984992496248124,0.9984992496248124,1.0,1.0
69,1,257,221,18,0.915536770389757,0.0990645602699433,0.7241144220844952,0.3749501381854481,0.6714783007297199
69,17,8,8,0,0.9919680438685891,0.9860455489387389,0.9860455489387389,0.9999999999999999,0.9999999999999999
70,4,222,190,16,0.4990782049935861,0.05929837452077808,0.9091707081624372,0.15012766635834074,0.25941117027622407
70,20,811,471,170,0.7657461602048344,0.039547634234417525,0.7917478457416067,0.2477997884928106,0.47084547389047504
73,17,6,6,0,0.9954831099826345,0.9925075187772161,0.9925075187772161,1.0,1.0
76,7,382,324,29,0.30974856266409995,0.026344503671517066,0.07651001149008993,0.9498344921814272,0.15134109506667667
76,23,101,99,1,0.5929544075005428,0.19627582417412764,0.2662355238797573,0.9300403002943702,0.5085280672653484
77,3,31,31,0,0.8834352484331799,0.7896938397418176,0.7896938397418176,0.9999999999999998,0.9999999999999998
79,11,85,81,2,0.9887296060879517,0.2802201365750585,0.7372589484399736,0.5429611881350848,0.6979584305150411
79,18,2,2,0,0.9994991239782939,0.9994997498749375,0.9994997498749375,1.0,1.0
80,25,4,4,0,0.9979939906673919,0.9969992507520661,0.9969992507520661,1.0,1.0
83,12,2,2,0,0.9994991239782939,0.9994997498749375,0.9994997498749375,1.0,1.0
84,9,43,43,0,0.7855325928010027,0.6304389882944557,0.6304389882944557,1.0,1.0
84,26,9,9,0,0.9898352698344185,0.9820855266538443,0.9820855266538443,1.0,1.0
85,16,12,12,0,0.9819469841920873,0.9673537484054419,0.9673537484054419,1.0000000000000002,1.0000000000000002
86,7,4,4,0,0.9979939906673919,0.9969992507520661,0.9969992507520661,1.0,1.0
86,15,186,164,11,0.6781315895552247,0.0926727581293924,0.8606286416953954,0.232044116433997,0.3493981100452158
88,14,155,151,2,0.20803744261097573,0.03733153963089099,0.04975069649597009,0.987580843134921,0.1153884406569711
89,2,3,3,0,0.998872253775306,0.9984992496248124,0.9984992496248124,1.0,1.0
89,5,501,407,47,0.029636995318724928,0.0019134625259568528,0.004660216273428917,0.9972532462525278,0.008884552479723664
89,24,3,3,0,0.998872253775306,0.9984992496248124,0.9984992496248124,1.0,1.0
90,11,34,34,0,0.8611029746459657,0.7517945541651972,0.7517945541651972,0.9999999999999999,0.9999999999999999
93,16,260,222,19,0.841660448579418,0.0892870541574834,0.7749794372899261,0.31430761686755737,0.5750576695068926
93,22,15,15,0,0.9718520782202444,0.9484901534392025,0.9484901534392025,1.0,1.0
96,25,265,215,25,0.12283359628446286,0.013794155062802215,0.9832758397957946,0.03051831526700767,0.052509126196095685
99,4,189,181,4,0.19016857966959586,0.028158680385809983,0.042992661313715284,0.9851660190720946,0.09268561496266987
100,21,22,22,0,0.9400207889201649,0.8898010266496916,0.8898010266496916,1.0,1.0
103,4,72,70,1,0.9642793193847569,0.3654070902811881,0.6310277372852755,0.7343793529959125,0.9999999999999999
103,12,753,479,137,0.8147196642624657,0.04431346575375467,0.28904485944208247,0.7552686063116725,0.544850613857172
105,21,79,77,1,0.896703787702933,0.33602694876245165,0.5371414224781157,0.798885526284336,1.0
106,9,19,19,0,0.9550469769297613,0.9173194471526248,0.9173194471526248,1.0,1.0
106,12,209,179,15,0.3866143455092048,0.04874938591445839,0.9364398434762169,0.11230954243824144,0.17459555311620475
106,18,43,43,0,0.7855325928010027,0.6304389882944557,0.6304389882944557,1.0,1.0
108,17,8,8,0,0.9919680438685891,0.9860455489387389,0.9860455489387389,0.9999999999999999,0.9999999999999999
109,2,3,3,0,0.998872253775306,0.9984992496248124,0.9984992496248124,1.0,1.0
109,17,111,111,0,0.17791627368654586,0.03944462646561278,0.03944462646561278,1.0000000000000002,0.06729675895509753
111,15,19,19,0,0.9550469769297613,0.9173194471526248,0.9173194471526248,1.0,1.0
114,9,760,478,141,0.9011078437427076,0.048653644133006255,0.35480187931685786,0.6938517648161479,0.68729089579445
115,10,705,447,129,0.8057505088031757,0.04391158564683443,0.7713943501237595,0.27251723552307505,0.5329105062220768
120,8,50,50,0,0.7198365562414227,0.5335985639785162,0.5335985639785162,1.0,1.0
120,20,656,442,107,0.9964961339342507,0.057099203492967675,0.5026363033350265,0.5544629001579408,1.0
121,6,98,92,3,0.9207035280445338,0.21943091203263185,0.7903231715923937,0.4291077404402381,0.7274056617851312
121,15,2,2,0,0.9994991239782939,0.9994997498749375,0.9994997498749375,1.0,1.0
125,11,26,26,0,0.9169149158673642,0.8482302183936231,0.8482302183936231,1.0,1.0
125,18,8,8,0,0.9919680438685891,0.9860455489387389,0.9860455489387389,0.9999999999999999,0.9999999999999999
125,25,2,2,0,0.9994991239782939,0.9994997498749375,0.9994997498749375,1.0,1.0
126,14,974,512,231,0.7372232425600946,0.03768300943736812,0.2413762358986766,0.7963067735386913,0.4482367850742334
128,1,639,427,106,0.8500048332283376,0.048619770164935135,0.7455801762995737,0.30303959386536194,0.5613001429369349
130,15,10,10,0,0.9874534290355311,0.9776461646549068,0.9776461646549068,0.9999999999999999,0.9999999999999999
130,16,173,161,6,0.8386686361022109,0.1446801604459332,0.36808792476026975,0.7765922356856634,0.6903464578212718
134,17,31,29,1,0.28955369220557176,0.18928228632986865,0.9789761260716863,0.21030616025818238,0.21030616025818238
135,9,6,6,0,0.9954831099826345,0.9925075187772161,0.9925075187772161,1.0,1.0
135,23,2,2,0,0.9994991239782939,0.9994997498749375,0.9994997498749375,1.0,1.0
138,17,2,2,0,0.9994991239782939,0.9994997498749375,0.9994997498749375,1.0,1.0
139,17,920,494,213,0.9842428167981251,0.049812756385153645,0.6017473471972596,0.44806540918789334,0.8488026951291773
139,18,110,106,2,0.8232796773038397,0.22817277755699727,0.41095504008351197,0.8172177374734854,0.7630120367479116
143,26,149,135,7,0.8016764615141536,0.13221802225293353,0.8225050903762001,0.3097129318767335,0.4881821961886587
144,3,17,17,0,0.9639199330844024,0.9337314092786754,0.9337314092786754,1.0,1.0
144,23,50,50,0,0.7198365562414227,0.5335985639785162,0.5335985639785162,1.0,1.0
146,16,139,125,7,0.5695875961321267,0.0983033185852619,0.9022124522195081,0.19609086636575393,0.32034334508833745
146,23,98,66,16,3.2112353435968775e-19,7.096676618108193e-11,0.9999999999948148,7.615191766438663e-11,7.615191766438663e-11
148,2,503,361,71,0.42871732593445333,0.027857677779360157,0.9186542415769745,0.1092034362023859,0.20734791502294175
149,6,173,165,4,0.3786860670596082,0.06735783745850725,0.1138703195050093,0.953487517953498,0.22695280079700003
150,20,131,121,5,0.9349835347272479,0.17702584947525754,0.7523437999998055,0.42468204947545224,0.6079584150802094
152,1,58,56,1,0.9841848710110381,0.37420336736766074,0.8011528839166071,0.5730504834510536,0.5730504834510536
154,8,3,3,0,0.998872253775306,0.9984992496248124,0.9984992496248124,1.0,1.0
155,17,138,112,13,0.000267945614593028,0.0003235960004367107,0.9998946056223558,0.00042899037808093144,0.00042899037808093144
157,13,149,141,4,0.7766543712874964,0.15853723855012244,0.33700650286204775,0.8215307356880747,0.6467194347387811
158,5,79,79,0,0.429295953959298,0.20111447371566404,0.20111447371566404,1.0,0.39766350300381764
159,19,657,479,89,0.025341624213790017,0.0014610145837120837,0.004090344112663646,0.9973706704710485,0.007915456300048918
160,19,648,436,106,0.9891303532232438,0.05671486908827155,0.5943432614007563,0.4623716076875149,0.8852826666803212
161,16,104,104,0,0.22215308965656438,0.059275863786052825,0.059275863786052825,1.0000000000000002,0.10482268815447077
162,17,6,6,0,0.9954831099826345,0.9925075187772161,0.9925075187772161,1.0,1.0
163,26,22,22,0,0.9400207889201649,0.8898010266496916,0.8898010266496916,1.0,1.0
164,7,163,153,5,0.7861214493967084,0.1459103068692189,0.334758029968374,0.8111522769008449,0.6715314348970175
165,18,26,26,0,0.9169149158673642,0.8482302183936231,0.8482302183936231,1.0,1.0
167,20,6,6,0,0.9954831099826345,0.9925075187772161,0.9925075187772161,1.0,1.0
168,22,4,4,0,0.9979939906673919,0.9969992507520661,0.9969992507520661,1.0,1.0
169,1,223,199,12,0.990526507843244,0.12723954911391186,0.5278859729810723,0.5993535761328396,1.0
171,1,6,6,0,0.9954831099826345,0.9925075187772161,0.9925075187772161,1.0,1.0
172,5,3,3,0,0.998872253775306,0.9984992496248124,0.9984992496248124,1.0,1.0
173,5,23,23,0,0.9345664769544622,0.8799043519346799,0.8799043519346799,1.0,1.0
173,13,151,147,2,0.2453288913031581,0.04696454434422683,0.06364013392233757,0.983324410421889,0.11198986392457518
176,6,554,400,77,0.9990848892359903,0.06277536162505522,0.5567556078728256,0.5060197537522299,1.0000000000000002
176,12,9,9,0,0.9898352698344185,0.9820855266538443,0.9820855266538443,1.0,1.0
181,20,154,138,8,0.6540534948286746,0.10387238634967647,0.8752611562745659,0.22861123007511058,0.3684176041816996
