,heterozygotes,homozygotes
3,27,0
146,268,12
5,70,0
2,50,0
85,152,9
6,48,0
22,88,0
9,34,1
104,202,3
16,78,1
31,91,1
14,56,0
29,58,0
8,40,0
7,56,0
11,44,0
12,24,0
97,97,0
24,72,0
73,140,3
32,158,1
64,60,2
33,99,0
52,154,1
56,56,0
250,220,15
46,46,0
91,251,11
47,84,5
44,44,0
217,205,6
45,88,1
17,34,0
87,79,4
253,237,8
10,50,0
62,58,2
21,21,0
80,80,0
78,76,1
57,114,0
132,230,17
63,59,2
15,15,0
54,52,1
58,48,5
49,49,0
144,136,4
76,72,2
42,84,0
66,66,0
20,20,0
13,26,0
135,123,6
96,86,5
38,76,0
114,102,6
18,18,0
4,8,0
113,109,2
117,107,5
